Date,Site,Stream,Time,DO,TEMP,Conductivity,Specific Cond,Salinity,pH,Turbidity,Flow,Year,Precipitation,Fecal Coliform,Season,Watershed,Cu,Zn,Pb,TKN,NO3_NO2,TN,TP,TSS,Monitoring.Basin,BIBI
8/8/2011,LS-1,Little Swamp Creek,11:05:00 AM,8.95,15.8,171.2,207.4,0.1,7.3,3.41,0.01,2011,Dry,270,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
9/16/2011,LS-1,Little Swamp Creek,11:30:00 AM,8.15,17.1,99.8,117.7,0.1,7.74,3.74,0.2,2011,Wet,870,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
10/13/2011,LS-1,Little Swamp Creek,9:25:00 AM,9.84,11.9,135.9,181.5,0.1,7.3,5.49,0.03,2011,Wet,430,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
11/14/2011,LS-1,Little Swamp Creek,10:18:00 AM,10.74,8,123.6,183,0.1,7.12,3.17,0.04,2011,Wet,200,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
1/23/2012,LS-1,Little Swamp Creek,11:40:00 AM,11.8,4.5,99.1,162.9,0.1,6.81,5.56,1,2012,Wet,190,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
2/6/2012,LS-1,Little Swamp Creek,9:18:00 AM,11.16,4,69.6,115.9,0.1,6.94,1.62,0.09,2012,Dry,55,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
3/5/2012,LS-1,Little Swamp Creek,9:30:00 AM,10.75,7.1,85.2,129.4,0.1,,5.05,0.25,2012,Wet,6,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
4/9/2012,LS-1,Little Swamp Creek,11:59:00 AM,10.44,10.8,111.7,153.1,0.1,7.52,3.06,0.15,2012,Dry,15,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
5/7/2012,LS-1,Little Swamp Creek,10:00:00 AM,10.37,10.9,110.5,151.3,0.1,6.97,2.74,0.04,2012,Dry,310,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
6/10/2012,LS-1,Little Swamp Creek,10:55:00 AM,8.95,13.8,137,175.1,0.1,7.96,3.17,0.04,2012,Dry,100,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
7/3/2012,LS-1,Little Swamp Creek,9:40:00 AM,9.66,14.2,95.9,120.8,0.1,6.68,4.18,1,2012,Wet,4000,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
8/13/2012,LS-1,Little Swamp Creek,10:49:00 AM,8.18,17.7,133.6,154.6,0.1,7.11,2.42,0.01,2012,Dry,40,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
9/17/2012,LS-1,Little Swamp Creek,9:37:00 AM,6.98,14.4,100.9,126.7,0.1,8.1,3.35,0.01,2012,Dry,450,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
10/8/2012,LS-1,Little Swamp Creek,10:05:00 AM,8.67,12.1,83,110.1,0.1,7.02,1.59,0.01,2012,Dry,30,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
11/5/2012,LS-1,Little Swamp Creek,9:09:00 AM,9.72,12.8,105.4,138.6,0.1,7,4.64,0.75,2012,Wet,430,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
12/3/2012,LS-1,Little Swamp Creek,9:50:00 AM,11.29,8.8,62.7,91.1,0,6.77,3.64,1.5,2012,Wet,2600,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
1/14/2013,LS-1,Little Swamp Creek,9:05:00 AM,11.18,4.1,73.1,121.9,0.1,7.05,0.82,1,2013,Wet,10,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
2/11/2013,LS-1,Little Swamp Creek,10:52:00 AM,9.11,6.5,2.3,3.5,0,7.7,6.85,1,2013,Wet,440,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
3/18/2013,LS-1,Little Swamp Creek,11:15:00 AM,9.87,7.5,71.2,107,0.1,8.14,7.13,1.2,2013,Wet,870,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
4/23/2013,LS-1,Little Swamp Creek,10:48:00 AM,11.08,9.1,90.1,128.9,0.1,6.84,2.1,0.75,2013,Dry,100,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
5/20/2013,LS-1,Little Swamp Creek,11:20:00 AM,10.07,13.6,115,147.3,0.1,7.57,2.18,0.07,2013,Dry,120,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
6/4/2013,LS-1,Little Swamp Creek,9:40:00 AM,8.95,14.9,116.3,145.7,0.1,7.85,2.79,0.07,2013,Dry,30,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
7/16/2013,LS-1,Little Swamp Creek,1:30:00 PM,8.16,18.2,78.4,93.2,0,7.93,1.5,0.03,2013,Dry,22,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
8/12/2013,LS-1,Little Swamp Creek,11:00:00 AM,8.67,18.2,61.2,72.9,0,7.6,10.32,0.03,2013,Wet,2,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
9/10/2013,LS-1,Little Swamp Creek,12:07:00 PM,7.94,17.6,106.3,124.9,0.1,7.26,1.18,0.2,2013,Dry,160,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
10/7/2013,LS-1,Little Swamp Creek,11:27:00 AM,7.71,14.7,94.9,118.9,0.1,7.44,0.77,0.25,2013,Wet,40,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
11/25/2013,LS-1,Little Swamp Creek,11:36:00 PM,10.42,7.6,93.2,140.2,0.1,7.43,4.75,0.09,2013,Wet,8,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
12/9/2013,LS-1,Little Swamp Creek,9:44:00 AM,10.78,5.1,71.5,119.7,0.1,7.54,0.21,0.04,2013,Wet,8,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
1/13/2014,LS-1,Little Swamp Creek,10:30:00 AM,10.25,7.6,81.3,122.8,0.1,7.57,2.42,1,2014,Wet,76,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
3/3/2014,LS-1,Little Swamp Creek,10:08:00 AM,9.95,7.1,55,83.7,0,7.35,11.7,2,2014,Wet,860,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
3/24/2014,LS-1,Little Swamp Creek,11:17:00 AM,10.1,8.4,81.3,118.3,0.1,7.47,0.67,,2014,Dry,82,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
4/14/2014,LS-1,Little Swamp Creek,1:25:00 PM,10.62,12.5,129.2,170,0.1,7.49,0.73,,2014,Dry,38,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
5/12/2014,LS-1,Little Swamp Creek,10:15:00 AM,10.19,12.2,93.2,124.3,0.1,7.14,1.95,1,2014,Dry,72,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
6/23/2014,LS-1,Little Swamp Creek,10:40:00 AM,6.89,16.5,145.6,174.4,0.1,7.26,4.18,,2014,Dry,85,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
7/14/2014,LS-1,Little Swamp Creek,10:00:00 AM,6.14,18.2,172.5,197.1,0.1,7.36,4.7,,2014,Dry,240,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
8/4/2014,LS-1,Little Swamp Creek,11:30:00 AM,7.66,18.1,175.9,203.3,0.1,7.97,3.71,,2014,Dry,15,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
9/17/2014,LS-1,Little Swamp Creek,9:49:00 AM,7.55,15.4,149.5,183.1,0.1,7.42,0.46,,2014,Dry,14,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
10/15/2014,LS-1,Little Swamp Creek,11:13:00 AM,7.47,14,74,93.5,0,7.01,11.8,0.75,2014,Wet,5100,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
11/19/2014,LS-1,Little Swamp Creek,12:47:00 PM,10.53,6.3,117.5,182.3,0.1,7.89,6.41,,2014,Wet,260,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
12/17/2014,LS-1,Little Swamp Creek,9:36:00 AM,9.07,7.5,102.6,154.5,0.1,7.39,4.98,0.25,2014,Wet,240,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
1/21/2015,LS-1,Little Swamp Creek,1:00:00 PM,9.72,6,96.5,151.5,0.1,7.28,2.59,0.75,2015,Wet,400,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
2/18/2015,LS-1,Little Swamp Creek,11:20:00 AM,9.68,7.6,103.3,154.8,0.1,7.91,6.3,0.2,2015,Wet,170,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
4/6/2015,LS-1,Little Swamp Creek,9:04:00 AM,9.94,9.5,115.4,164.1,0.1,7.32,2.98,0.5,2015,Wet,220,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
4/21/2015,LS-1,Little Swamp Creek,8:50:00 AM,10.46,11.8,136.8,182.9,0.1,7.57,0.73,0.3,2015,Dry,54,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
5/20/2015,LS-1,Little Swamp Creek,2:03:00 PM,8.58,17.6,182.9,212.8,0.1,7.65,0.1,0.02,2015,Wet,140,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
6/22/2015,LS-1,Little Swamp Creek,10:48:00 AM,8.69,16.7,101.1,119.7,0.1,7.85,1.55,0.02,2015,Dry,140,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
7/15/2015,LS-1,Little Swamp Creek,11:15:00 AM,7.75,19,263.6,295.7,0.1,7.38,1.34,0.01,2015,Dry,60,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
8/18/2015,LS-1,Little Swamp Creek,9:38:00 AM,6.41,17.9,194.9,225.1,0.1,7.67,1.1,0.04,2015,Dry,550,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
9/15/2015,LS-1,Little Swamp Creek,9:37:00 AM,7.26,15.7,192.3,233.4,0.1,7.62,1.07,0.03,2015,Dry,86,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
10/19/2015,LS-1,Little Swamp Creek,9:50:00 AM,7.28,13.7,155.9,200,0.1,7.68,2.38,0.07,2015,Dry,250,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
11/9/2015,LS-1,Little Swamp Creek,9:13:00 AM,7.92,10.4,81.5,173,0.1,7.15,4.85,2,2015,Wet,1900,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
12/22/2015,LS-1,Little Swamp Creek,9:23:00 AM,10.75,6.6,67.2,103.9,0,7.14,1.79,1.25,2015,Wet,110,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
1/19/2016,LS-1,Little Swamp Creek,11:06:00 AM,10.03,7,84.2,128.6,0.1,6.98,1.41,1,2016,Wet,430,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
2/23/2016,LS-1,Little Swamp Creek,8:45:00 AM,11.2,6.2,88.4,138.6,0.1,7.19,0.76,0.5,2016,Wet,120,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
3/21/2016,LS-1,Little Swamp Creek,9:05:00 AM,9.53,9.2,90.9,130.2,0.1,6.97,2.75,0.75,2016,Wet,300,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
4/18/2016,LS-1,Little Swamp Creek,10:02:00 AM,9.53,12.7,129.2,169.2,0.1,7.36,1.3,0.07,2016,Dry,52,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
5/9/2016,LS-1,Little Swamp Creek,9:03:00 AM,9.46,12.9,140.5,182.9,0.1,7.69,1.01,0.25,2016,Wet,180,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
6/21/2016,LS-1,Little Swamp Creek,9:00:00 AM,8.34,15,131.4,163.2,0.1,,,0.09,2016,Wet,120,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
7/18/2016,LS-1,Little Swamp Creek,12:26:00 PM,5.12,16.3,169.8,202.6,0.1,7.63,4.42,0.03,2016,Dry,200,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
8/15/2016,LS-1,Little Swamp Creek,9:12:00 AM,7.58,17,202.3,240.5,0.1,7.8,0.6,0.02,2016,Dry,190,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
9/22/2016,LS-1,Little Swamp Creek,10:24:00 AM,9.38,14.5,153.2,191.7,0.1,7.16,1.61,0.07,2016,Wet,2200,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
10/11/2016,LS-1,Little Swamp Creek,10:00:00 AM,9.78,11.5,141.2,188.2,0.1,7.1,0.58,0.03,2016,Dry,1800,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
11/14/2016,LS-1,Little Swamp Creek,3:08:00 PM,8.72,11.8,108.2,144.6,0.1,6.61,0.96,1,2016,Wet,800,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
12/12/2016,LS-1,Little Swamp Creek,10:01:00 AM,11.39,6.7,90.8,139.7,0.1,7.06,1.66,0.75,2016,Wet,250,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
1/23/2017,LS-1,Little Swamp Creek,9:19:00 AM,11.62,4.7,88.4,144.7,0.1,6.64,1.69,1,2017,Wet,550,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
2/21/2017,LS-1,Little Swamp Creek,9:27:00 AM,10.59,7,75.4,115.3,0.1,6.86,3.13,2,2017,Wet,270,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
3/31/2017,LS-1,Little Swamp Creek,9:54:00 AM,10.2,8.4,86.3,127.7,0.1,6.78,5.64,1.75,2017,Wet,220,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
4/18/2017,LS-1,Little Swamp Creek,9:03:00 AM,9.54,10.5,94.2,130.7,0.1,7.08,1.52,1,2017,Wet,120,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
5/15/2017,LS-1,Little Swamp Creek,9:27:00 AM,9.28,11.5,101.1,136.4,0.1,7.32,0.76,1,2017,Wet,390,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
6/13/2017,LS-1,Little Swamp Creek,9:23:00 AM,8.67,13.5,132.3,169.8,0.1,7.42,13.2,0.75,2017,Wet,11000,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
7/11/2017,LS-1,Little Swamp Creek,8:47:00 AM,,15.5,185.6,226.6,0.1,7.49,1.14,0.04,2017,Dry,750,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
8/14/2017,LS-1,Little Swamp Creek,9:02:00 AM,8.17,16.7,216.7,257,0.1,7.51,0.54,0.02,2017,Wet,62,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
9/11/2017,LS-1,Little Swamp Creek,9:02:00 AM,9.41,14.7,132.9,165.4,0.1,7.65,0.25,0.01,2017,Dry,40,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
10/16/2017,LS-1,Little Swamp Creek,9:15:00 AM,10.6,10.2,134,187.6,0.1,7.75,0.76,0.03,2017,Dry,640,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
12/4/2017,LS-1,Little Swamp Creek,9:09:00 AM,11.5,7.8,70.6,105.4,0,7.04,2.44,1,2017,Wet,230,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
1/22/2018,LS-1,Little Swamp Creek,10:17:00 AM,10.89,7.1,77.8,118.2,0.1,7.07,1.66,2,2018,Wet,210,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
2/12/2018,LS-1,Little Swamp Creek,9:00:00 AM,,4.8,111.7,141.9,0.1,7.33,4.5,1,2018,Dry,320,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
3/12/2018,LS-1,Little Swamp Creek,9:17:00 AM,,7,,,,,,0.75,2018,Dry,320,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
4/16/2018,LS-1,Little Swamp Creek,9:46:00 AM,,9,,,,,,2,2018,Wet,1200,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
5/21/2018,LS-1,Little Swamp Creek,10:35:00 AM,,5,,,,,,0.75,2018,Dry,320,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
6/18/2018,LS-1,Little Swamp Creek,10:07:00 AM,,17,,,,,,0.55,2018,Dry,1500,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
7/30/2018,LS-1,Little Swamp Creek,10:30:00 AM,,19.5,,,,,,,2018,Dry,84,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
8/21/2018,LS-1,Little Swamp Creek,10:45:00 AM,7.4,17.17,,197,,,0.75,,2018,Dry,42,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
9/24/2018,LS-1,Little Swamp Creek,9:35:00 AM,9.8,13.47,,146,,,1.25,0.33,2018,Dry,490,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
10/30/2018,LS-1,Little Swamp Creek,10:15:00 AM,10.7,11.19,,173,,7.15,1.45,0.81,2018,Dry,200,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
11/30/2018,LS-1,Little Swamp Creek,10:40:00 AM,15.02,5.62,,192,,7.28,0.98,,2018,Dry,150,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
12/20/2018,LS-1,Little Swamp Creek,12:30:00 PM,11.78,7.5,,135,,7.02,2.2,,2018,Wet,1700,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
1/11/2019,LS-1,Little Swamp Creek,9:30:00 AM,12.01,7.32,,142,,6.95,1.66,,2019,Dry,220,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
2/28/2019,LS-1,Little Swamp Creek,11:00:00 AM,14.8,4.39,,189,,7.38,0.86,,2019,Dry,110,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
3/28/2019,LS-1,Little Swamp Creek,14:20:00 PM,10.91,11.73,,140,,6.98,1.05,,2019,Wet,92,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
4/3/2019,LS-1,Little Swamp Creek,11:21:00 AM,10.8,11.7,,152,,7.04,,,2019,Dry,120,Spring,Swamp Creek,0.882,4.71,0.351,1.33,0.8,2.13,0.095,29,Little Swamp Creek,
5/23/2019,LS-1,Little Swamp Creek,12:15:00 PM,8.4,15.75,,286,,7.66,1.57,,2019,Dry,54,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
6/18/2019,LS-1,Little Swamp Creek,10:12:00 AM,7.9,14.75,,245,,5.73,2.64,,2019,Wet,1400,Summer,Swamp Creek,1.569,5.1,0.0831,0.999,0.97,1.969,0.048,6,Little Swamp Creek,
7/11/2019,LS-1,Little Swamp Creek,10:30:00 AM,8.19,15.45,,238,,8.39,1.15,,2019,Wet,480,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
8/13/2019,LS-1,Little Swamp Creek,12:25:00 PM,9.33,16.74,,172,,7.61,,,2019,Dry,46,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
9/17/2019,LS-1,Little Swamp Creek,11:30:00 AM,9.61,15.08,,136,,6.75,13.2,,2019,Wet,1900,Autumn,Swamp Creek,2.22,6.54,0.1,0.871,0.56,1.431,0.082,16,Little Swamp Creek,
10/12/2019,LS-1,Little Swamp Creek,10:05:00 AM,9.9,9.9,,179,,7.28,20.32,,2019,Wet,3400,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
12/9/2019,LS-1,Little Swamp Creek,10:37:00 AM,11.57,6.6,,183.6,,7.26,13.06,,2019,Wet,180,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
2/27/2020,LS-1,Little Swamp Creek,12:15:00 PM,10.9,10.8,,195,,7.08,7.8,0.8,2020,Wet,18,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
3/31/2020,LS-1,Little Swamp Creek,1:10:00 PM,11,9.4,,238,,7.39,7.6,,2020,Dry,200,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
4/16/2020,LS-1,Little Swamp Creek,12:18:00 PM,10.9,11.21,,208.1,,7.22,4.81,,2020,Dry,,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
5/14/2020,LS-1,Little Swamp Creek,10:15:00 AM,9.16,13.4,,186.3,,7.63,8.63,,2020,Wet,33000,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
6/10/2020,LS-1,Little Swamp Creek,11:09:00 AM,9.19,14.7,,272.1,,7.18,5.27,0.25,2020,Wet,,Summer,Swamp Creek,,,,,,,,,Little Swamp Creek,
8/25/2020,LS-1,Little Swamp Creek,11:18:00 AM,9.05,16.58,,209.5,,7.25,4.32,,2020,Dry,1000,Summer,Swamp Creek,1.7,1.28,0,0.61,0.32,0.93,0.025,5,Little Swamp Creek,
9/23/2020,LS-1,Little Swamp Creek,12:08:00 PM,9.48,15.54,,207.4,,7.3,2.22,,2020,Dry,3100,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
9/30/2020,LS-1,Little Swamp Creek,1:15:00 PM,9.45,15.22,,232.4,,7.11,2.54,,2020,Dry,68,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
10/14/2020,LS-1,Little Swamp Creek,,,,,,,,,,2020,Dry,370,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
11/4/2020,LS-1,Little Swamp Creek,,,,,,,,,,2020,Wet,20,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
11/15/2020,LS-1,Little Swamp Creek,10:05:00 AM,9.89,10.01,,184.3,,7.33,14.32,,2020,Wet,1200,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
11/30/2020,LS-1,Little Swamp Creek,,,,,,,,,,2020,Wet,10,Autumn,Swamp Creek,,,,,,,,,Little Swamp Creek,
12/2/2020,LS-1,Little Swamp Creek,10:45:00 AM,,,,,,,,,2020,Wet,28,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
12/9/2020,LS-1,Little Swamp Creek,1:45:00 PM,11.44,7.9,,182.2,,7.21,12.21,,2020,Wet,1,Winter,Swamp Creek,0.56,9.54,0.1,0.812,1.3,2.112,0.032,1,Little Swamp Creek,
12/21/2020,LS-1,Little Swamp Creek,10:05:00 AM,,,,,,,,,2020,Wet,290,Winter,Swamp Creek,2.78,17.5,0.157,0.917,0.97,1.887,0.136,18,Little Swamp Creek,
2/24/2021,LS-1,Little Swamp Creek,,12.05,6.8,,195.3,,7.62,2.11,,2021,Dry,35,Winter,Swamp Creek,,,,,,,,,Little Swamp Creek,
4/14/2021,LS-1,Little Swamp Creek,12:45:00 PM,12.47,10.8,,230.8,,7.45,10.8,,2021,Dry,16,Spring,Swamp Creek,0.49,2.71,0.1,0.553,0.85,1.403,0.028,1,Little Swamp Creek,
5/5/2021,LS-1,Little Swamp Creek,,,,,,,,,,2021,Dry,20,Spring,Swamp Creek,,,,,,,,,Little Swamp Creek,
